,map_name,file_names,slope_0.2,norm_slope_0.2,curvature,curvature_linear,curvature_shift,norm_curvature,norm_curvature_linear,norm_curvature_shift,work_total,work_elastic,work_plastic,work_ratio,h_ratio,Er(GPa),H(GPa),mN,Y_name
0,SV-map1-3mN,SV-7-map1-indents_0030.txt,83393.35070865421,1.6096333096944822,198012.6122766051,42329.07940526203,-45.50417413312409,0.2247965991661908,0.8236945251200033,-0.015177808787445,81.02369682527727,54.61037013749173,26.413326687785545,0.3259950819665053,0.7338812454060186,271.292415,30.01681,3,mc
1,SAV-map1-3mN,SA-7-map1-indent_0170.txt,116225.99489718968,3.5201299358194795,195849.03930135665,15343.983614983556,57.96543349073025,0.5341488646436268,0.4627849974782175,0.0193335030560366,114.0676877885426,37.94401298406434,76.12367480447824,0.6673552894803607,0.4222915537519835,229.969402,11.193505,3,matrix
2,LCV-map1-3mN,LCV-7-map1-indent_0286.txt,111921.52159491608,3.5691063880086205,155069.80833326804,16680.815620625373,46.81490190976308,0.4704378177982447,0.5306028128934548,0.0156139883547924,119.29213551230396,39.21927761811449,80.07285789418948,0.6712333344550668,0.4918334687605868,216.978379,10.56987,3,matrix
3,LCV-map2-3mN,LCV-8-map2-indent_0199.txt,112193.24191058111,3.345373288654705,186398.06751274865,17695.771007654876,10.662438373977023,0.4919437397169667,0.5250072510759848,0.003556105372478,113.39454359614729,42.50800260276161,70.88654099338568,0.6251318515452284,0.5575408358609407,234.532986,11.829912,3,matrix
4,BV-map2-3mN,3s-a9-b-map2-curves_0087.txt,115076.49649095652,3.581817957283972,186869.91509314728,15322.904911276268,49.49302756400766,0.5352327308456404,0.4736048434232663,0.0165078651436399,115.89362887891768,33.13311237159301,82.76051650732467,0.7141075597329899,0.4416540967178801,226.27482,10.665761,3,matrix
5,BV-map2-3mN,3s-a9-b-map2-curves_0003.txt,119014.22760586123,3.630327040430982,290881.17410911067,7223.453516255193,16.745780923843984,0.8363196401068639,0.223688241466526,0.0055852778342455,101.21818146968326,29.95831571735191,71.25986575233135,0.704022387259299,0.434682500907081,231.166681,10.98405,3,mc-matrix
6,SAV-matrix2-3mN,SA-6-3mNim_20230808_1631_00089 LC.txt,102431.32857811869,3.0871048447874427,187628.3008527711,17583.93977575133,21.220330070625707,0.4809618896410544,0.5145518007863289,0.0070886893198808,114.58490485450145,39.103982172791866,75.48092268170959,0.6587335633568345,0.3764348002115606,221.335886,11.504468,3,mc-matrix
7,SAV-map2-3mN,SA-8-map2-indents_0385.txt,107869.34868167262,3.269398177971108,124663.3780832543,24091.252929334907,-134.4960421591228,0.3432740906821549,0.7300681028931526,-0.0448554629987897,115.329859660399,42.51867463201342,72.81118502838558,0.6313298675883751,0.6592390765504776,222.514367,11.468007,3,mc-matrix
8,SV-map1-3mN,SV-7-map1-indents_0345.txt,99837.3627466976,3.1906029141041925,162200.3678777679,16132.005955706589,38.00294301597561,0.4980930335882633,0.516286092311566,0.0126754308068074,120.26097579452654,40.26685451994334,79.99412127458321,0.6651710643963026,0.4217288375104813,190.306867,11.144033,3,matrix
9,SAV-map1-3mN,SA-7-map1-indent_0037.txt,111411.10931388591,3.59331584564149,147070.47200809926,17598.30945016294,1.8805388940704475,0.4528256620647853,0.5639546628559131,0.0006272260481491,124.1348037871926,42.37295799098401,81.7618457962086,0.6586536837515365,0.4870102823691368,209.314216,10.225363,3,matrix
10,LCV-map1-3mN,LCV-7-map1-indent_0098.txt,111375.32889957422,3.4943953205132647,156663.81794816925,17883.675415709433,32.15057201780761,0.4520939822647052,0.5548208892080779,0.0107231102217175,125.76178408686046,44.777402128562485,80.98438195829797,0.6439506448347149,0.6282040530975017,223.004814,10.968326,3,matrix
11,BV-matrix2-10mN,3s-5-10mNimage_20230209_0018_00075 LC.txt,206236.6619572207,4.011856035952738,198772.94809057596,13880.550799251125,75.01021505528183,0.7364705696301986,0.267253629181646,0.0075050959477793,762.1411859071798,236.65850495167237,525.4826809555075,0.6894820679845864,0.2980691561727754,222.638178,10.537622,10,matrix
