*Hardness measurements were converted to stress measurements by dividing the hardness by 3					
"**LYS = lower yield stress, no strain given for hardness measurements"					
"***TT = tension test, CT = compression test, NH = nanoindentation, VH = Vickers hardness, MDBT = miniaturized disk bend test"					
					
					
element	grain size (µm)	flow stress (MPa)*	plastic strain**	test method***	reference
Fe	0.062	1760	-	VH	53
Fe	0.052	1911	-	VH	53
Fe	0.029	2122	-	VH	53
Fe	0.031	2220	-	VH	53
Fe	0.024	2365	-	VH	53
Fe	0.022	2489	-	VH	53
Fe	0.02	2608	-	VH	53
Fe	0.017	2811	-	VH	53
Fe	0.018	2877	-	VH	53
Fe	0.021	1176	-	VH	54
Fe	0.019	1067	-	VH	54
Fe	0.017	1079	-	VH	54
Fe	0.013	1260	-	VH	54
Fe	0.012	1253	-	VH	54
Fe	0.011	1310	-	VH	54
Fe	0.01	1224	-	VH	54
Fe	0.01	1186	-	VH	54
Fe	0.032	738	-	VH	54
Fe	0.03	956	-	VH	54
Fe	0.029	987	-	VH	54
Fe	0.026	1030	-	VH	54
Fe	0.019	1005	-	VH	54
Fe	0.016	1140	-	VH	54
Fe	0.011	1303	-	VH	54
W	7.4	1843	-	VH	68
W	7	1785	-	VH	68
W	6.9	1727	-	VH	68
W	0.52	2541	-	VH	68
W	0.4	2994	-	VH	68
W	0.37	2604	-	VH	68
W	0.21	3321	-	VH	68
W	0.18	3813	-	VH	68
W	0.17	4178	-	VH	68
W	1	1375	0.002	TT	67
W	0.92	1438	0.002	TT	67
W	0.67	1563	0.002	TT	67
W	0.61	1688	0.002	TT	67
W	0.57	1738	0.002	TT	67
W	0.45	1675	0.002	TT	67
W	0.45	1875	0.002	TT	67
W	0.39	1845	0.002	TT	67
W	0.39	2000	0.002	TT	67
W	0.28	2125	0.002	TT	67
V	735	328	LYS	TT	12
V	347	334	LYS	TT	12
V	22	395	LYS	TT	12
V	15	410	LYS	TT	12
V	0.69	356	0.002	TT	13
V	2	422	0.002	TT	14
V	1.95	443	0.002	TT	14
V	1.61	473	0.002	TT	14
