*Hardness measurements were converted to stress measurements by dividing the hardness by 3					
"**LYS = lower yield stress, no strain given for hardness measurements"					
"***TT = tension test, CT = compression test, NH = nanoindentation, VH = Vickers hardness, MDBT = miniaturized disk bend test"					
					
					
element	grain size (µm)	flow stress (MPa)*	plastic strain**	test method***	reference
Ag	0.21	319	-	VH	88
Ag	0.18	303	-	VH	88
Ag	0.15	329	-	VH	88
Ag	0.074	377	-	VH	88
Ag	0.06	419	-	VH	88
Ag	0.11	287	-	VH	89
Ag	0.084	274	-	VH	89
Ag	0.063	292	-	VH	89
Ag	0.036	356	-	VH	89
Ag	0.02	435	-	VH	89
Ag	0.017	462	-	VH	89
Ag	17	47	0.002	TT	90
Ag	18	49	0.002	TT	90
Ag	39	34	0.002	TT	90
Ag	41	42	0.002	TT	90
Ag	41	44	0.002	TT	90
Ag	234	36	0.002	TT	90
Ag	291	36	0.002	TT	90
Ag	0.66	108	-	VH	91
Ag	0.43	229	-	VH	91
Ag	0.12	280	-	VH	91
Ag	0.028	402	-	VH	91
Ag	0.008	491	-	VH	91
Au	21	156	-	VH	92
Au	9	160	-	VH	92
Au	3	203	-	VH	92
Au	0.78	219	-	VH	92
Au	0.23	323	-	VH	92
Au	0.15	382	-	VH	92
Au	0.12	408	-	VH	92
Au	0.093	458	-	VH	92
Au	0.045	544	-	VH	92
Au	0.033	600	-	VH	92
Au	0.021	675	-	VH	92
Au	0.066	188	-	VH	93
Au	0.057	172	-	VH	93
Au	0.039	194	-	VH	93
Au	0.05	229	-	VH	93
Au	0.048	285	-	VH	93
Au	0.044	302	-	VH	93
Au	0.032	290	-	VH	93
Au	0.029	298	-	VH	93
Au	0.026	272	-	VH	93
Au	0.031	368	-	VH	93
Au	0.027	372	-	VH	93
Au	0.031	450	-	VH	93
Au	0.015	640	-	VH	93
Au	27	35	0.002	TT	94
Au	29	44	0.002	TT	94
Au	4.2	91	0.002	TT	94
Au	2.6	132	0.002	TT	94
Au	2.1	144	0.002	TT	94
Au	2	197	0.002	TT	94
Au	0.04	308	0.002	TT	95
Au	0.05	310	0.002	TT	95
Au	0.1	235	0.002	TT	95
Ni	463	50	0.002	TT	96
Ni	360	54	0.002	TT	96
Ni	302	56	0.002	TT	96
Ni	95	66	0.002	TT	96
Ni	43	84	0.002	TT	96
Ni	35	96	0.002	TT	96
Ni	240	57	0.002	TT	98
Ni	23	100	0.002	TT	98
Ni	21	94	0.002	TT	98
Ni	10	129	0.002	TT	98
Ni	112	51	0.002	TT	99
Ni	44	91	0.002	TT	99
Ni	25	108	0.002	TT	99
Ni	25	129	0.002	TT	99
Ni	2.4	224	0.002	TT	99
Ni	0.38	563	0.002	TT	99
Ni	0.29	648	0.002	TT	99
Ni	0.23	685	0.002	TT	99
Ni	0.21	735	0.002	TT	99
Ni	131	30	0.002	TT	100
Ni	87	34	0.002	TT	100
Ni	24	62	0.002	TT	100
Ni	10	78	0.002	TT	100
Ni	13	283	-	VH	101
Ni	1.3	423	-	VH	101
Ni	0.57	507	-	VH	101
Ni	0.07	667	-	VH	101
Ni	0.66	627	-	VH	101
Ni	0.34	733	-	VH	101
Ni	0.012	2130	-	VH	101
Ni	0.012	2283	-	VH	101
Ni	65	414	-	VH	102
Ni	0.099	1168	-	VH	102
Ni	0.021	2036	-	VH	102
Ni	0.015	2120	-	VH	102
Ni	0.011	2151	-	VH	102
Ni	0.33	387	0.001	TT	103
Ni	0.33	495	0.001	TT	103
Ni	0.34	603	0.001	TT	103
Ni	0.094	821	0.001	TT	103
Ni	0.098	883	0.001	TT	103
Ni	0.085	893	0.001	TT	103
Ni	0.072	871	0.001	TT	103
Ni	0.037	1014	0.001	TT	103
Ni	0.053	997	0.001	TT	103
Ni	0.037	1157	0.001	TT	103
Ni	0.042	1198	0.001	TT	103
Ni	0.037	1221	0.001	TT	103
Ni	0.034	1116	0.001	TT	103
Ni	0.066	895	0.001	TT	103
Ni	25	46	0.001	TT	104
Ni	55	27	0.001	TT	104
Ni	75	24	0.001	TT	104
Ni	125	18	0.001	TT	104
Ni	0.13	1434	-	VH	105
Ni	0.12	1506	-	VH	105
Ni	0.11	1578	-	VH	105
Ni	0.092	1664	-	VH	105
Ni	0.022	1294	-	NH	106
Ni	0.018	1589	-	NH	106
Ni	0.014	2121	-	NH	106
Ni	0.012	1998	-	NH	106
Ni	107	33	0.002	TT	97
Ni	40	39	0.002	TT	97
Ni	25	43	0.002	TT	97
Ni	16	55	0.002	TT	97
Ni	0.01	4200	-	NH	107
Ni	0.012	3800	-	NH	107
Ni	0.018	3333	-	NH	107
Ni	0.022	3733	-	NH	107
Ni	0.024	3167	-	NH	107
Ni	0.029	2633	-	NH	107
Ni	0.031	2500	-	NH	107
Ni	0.032	2733	-	NH	107
Ni	0.12	1433	-	NH	107
Ni	0.17	1233	-	NH	107
Ni	0.67	933	-	NH	107
Al	2029	17	0.002	TT	110
Al	1047	15	0.002	TT	110
Al	344	18	0.002	TT	110
Al	244	20	0.002	TT	110
Al	186	20	0.002	TT	110
Al	104	17	0.002	TT	110
Al	75	19	0.002	TT	110
Al	54	19	0.002	TT	110
Al	46	23	0.002	TT	110
Al	41	21	0.002	TT	110
Al	17	24	0.002	TT	110
Al	14	25	0.002	TT	110
Al	12	30	0.002	TT	110
Al	575	12	0.002	TT	109
Al	483	12	0.002	TT	109
Al	483	11	0.002	TT	109
Al	347	13	0.002	TT	109
Al	325	14	0.002	TT	109
Al	269	13	0.002	TT	109
Al	269	13	0.002	TT	109
Al	245	12	0.002	TT	109
Al	229	13	0.002	TT	109
Al	221	14	0.002	TT	109
Al	193	14	0.002	TT	109
Al	184	13	0.002	TT	109
Al	173	15	0.002	TT	109
Al	130	16	0.002	TT	109
Al	132	14	0.002	TT	109
Al	121	15	0.002	TT	109
Al	111	16	0.002	TT	109
Al	103	17	0.002	TT	109
Al	100	15	0.002	TT	109
Al	73	16	0.002	TT	109
Al	58	18	0.002	TT	109
Al	49	19	0.002	TT	109
Al	48	18	0.002	TT	109
Al	37	21	0.002	TT	109
Al	1246	6	0.002	TT	108
Al	975	6	0.002	TT	108
Al	947	7	0.002	TT	108
Al	550	9	0.002	TT	108
Al	592	7	0.002	TT	108
Al	294	7	0.002	TT	108
Al	250	9	0.002	TT	108
Al	223	8	0.002	TT	108
Al	205	10	0.002	TT	108
Al	189	11	0.002	TT	108
Al	177	11	0.002	TT	108
Al	156	10	0.002	TT	108
Al	139	10	0.002	TT	108
Al	142	8	0.002	TT	108
Al	132	8	0.002	TT	108
Al	104	9	0.002	TT	108
Al	48	11	0.002	TT	108
Al	34	14	0.002	TT	108
Al	441	18	0.002	TT	111
Al	250	17	0.002	TT	111
Al	186	18	0.002	TT	111
Al	123	17	0.002	TT	111
Al	82	18	0.002	TT	111
Al	41	23	0.002	TT	111
Al	35	19	0.002	TT	111
Al	16	25	0.002	TT	111
Al	14	22	0.002	TT	111
Al	12	25	0.002	TT	111
Al	8.4	26	0.002	TT	111
Al	7.6	29	0.002	TT	111
Al	5.1	30	0.002	TT	111
Al	4.1	40	0.002	TT	111
Al	3.1	37	0.002	TT	111
Al	2	48	0.002	TT	111
Al	880	5	0.002	TT	112
Al	638	4	0.002	TT	112
Al	416	4	0.002	TT	112
Al	279	4	0.002	TT	112
Al	260	6	0.002	TT	112
Al	160	4	0.002	TT	112
Al	146	6	0.002	TT	112
Al	94	5	0.002	TT	112
Al	86	6	0.002	TT	112
Al	72	6	0.002	TT	112
Al	62	4	0.002	TT	112
Al	59	6	0.002	TT	112
Al	56	8	0.002	TT	112
Al	43	6	0.002	TT	112
Al	41	8	0.002	TT	112
Al	32	7	0.002	TT	112
Al	24	7	0.002	TT	112
Al	22	8	0.002	TT	112
Al	2.3	17	0.002	TT	113
Al	1.8	17	0.002	TT	113
Al	1.1	18	0.002	TT	113
Al	1.1	19	0.002	TT	113
Al	0.6	26	0.002	TT	113
Al	8.3	37	0.002	TT	114
Al	6.6	40	0.002	TT	114
Al	5.5	39	0.002	TT	114
Al	4.2	35	0.002	TT	114
Al	3.3	55	0.002	TT	114
Al	1.6	88	0.002	TT	114
Al	1.1	134	0.002	TT	114
Al	1	147	0.002	TT	114
Al	0.71	174	0.002	TT	114
Al	0.6	203	0.002	TT	114
Al	0.46	224	0.002	TT	114
Al	0.42	251	0.002	TT	114
Al	0.35	269	0.002	TT	114
Al	0.34	263	0.002	TT	114
Al	0.33	269	0.002	TT	114
Al	47	64	-	VH	115
Al	19	78	-	VH	115
Al	3	92	-	VH	115
Al	2.2	100	-	VH	115
Al	1.4	121	-	VH	115
Al	1.1	124	-	VH	115
Al	0.58	141	-	VH	115
Al	0.18	329	0.002	TT	116
Al	0.16	346	0.002	TT	116
Al	0.12	379	0.002	TT	116
Al	45	47	0.002	TT	117
Al	12	56	0.002	TT	117
Al	12	63	0.002	TT	117
Al	3.7	70	0.002	TT	117
Al	3.5	75	0.002	TT	117
Al	1.7	80	0.002	TT	117
Al	1.7	85	0.002	TT	117
Al	1.7	90	0.002	TT	117
Al	1	141	0.002	TT	117
Al	0.77	181	0.002	TT	117
Al	0.6	201	0.002	TT	117
Al	0.47	224	0.002	TT	117
Al	0.47	228	0.002	TT	117
Al	0.12	84	0.002	CT	119
Al	0.08	92	0.002	CT	119
Al	0.06	238	0.002	CT	119
Al	0.05	343	0.002	CT	119
Al	0.04	457	0.002	CT	119
Al	0.69	149	0.002	CT	118
Al	0.17	248	0.002	CT	118
Al	0.08	358	0.002	CT	118
Al	0.08	382	0.002	CT	118
Al	11	42	0.002	TT	120
Al	2.1	58	0.002	TT	120
Al	1.2	109	0.002	TT	120
Al	0.88	137	0.002	TT	120
Al	0.7	138	0.002	TT	120
Al	0.4	187	0.002	TT	120
Al	0.28	211	0.002	TT	120
Al	0.27	199	0.002	TT	120
Al	0.18	283	0.002	TT	120
Al	0.16	300	0.002	TT	120
Al	0.12	328	0.002	TT	120
Al	28	30	0.005	TT	121
Al	39	29	0.005	TT	121
Al	46	25	0.005	TT	121
Al	65	22	0.005	TT	121
Al	140	21	0.005	TT	121
Al	16	50	0.003	TT	8
Al	47	39	0.003	TT	8
Al	48	36	0.003	TT	8
Al	117	28	0.003	TT	8
Al	119	36	0.003	TT	8
Al	145	28	0.003	TT	8
Al	143	25	0.003	TT	8
Al	314	15	0.003	TT	8
Al	311	20	0.003	TT	8
Al	311	23	0.003	TT	8
Al	20	32	0.002	CT	122
Al	1.7	63	0.002	CT	122
Al	0.78	117	0.002	CT	122
Al	0.35	197	0.002	CT	122
Ti	52	332	-	VH	132
Ti	28	336	-	VH	132
Ti	20	363	-	VH	132
Ti	15	354	-	VH	132
Ti	12	368	-	VH	132
Ti	9.7	372	-	VH	132
Ti	8.1	384	-	VH	132
Ti	6.7	384	-	VH	132
Ti	4.8	402	-	VH	132
Ti	4.8	417	-	VH	132
Ti	4	417	-	VH	132
Ti	3	457	-	VH	132
Ti	3	400	-	VH	132
Ti	2.5	430	-	VH	132
Ti	2.3	430	-	VH	132
Ti	2	447	-	VH	132
Ti	1.5	457	-	VH	132
Ti	1.4	453	-	VH	132
Ti	1.2	464	-	VH	132
Ti	1.2	505	-	VH	132
Ti	0.97	505	-	VH	132
Ti	0.86	500	-	VH	132
Ti	0.77	505	-	VH	132
Ti	0.53	549	-	VH	132
Ti	0.48	584	-	VH	132
Ti	0.43	607	-	VH	132
Ti	0.29	632	-	VH	132
Ti	0.24	685	-	VH	132
Ti	0.19	722	-	VH	132
Ti	223	268	-	VH	132
Ti	103	300	-	VH	132
Ti	59	305	-	VH	132
Ti	11	337	-	VH	132
Ti	102	91	0.002	TT	124
Ti	63	100	0.002	TT	124
Ti	32	122	0.002	TT	124
Ti	15	158	0.002	TT	124
Ti	8.6	188	0.002	TT	124
Ti	5.9	215	0.002	TT	124
Ti	0.048	960	-	VH	125
Ti	0.042	1203	-	VH	125
Ti	0.029	1413	-	VH	125
Ti	0.022	1497	-	VH	125
Ti	0.014	1733	-	VH	125
Ti	0.012	1887	-	VH	125
Ti	0.082	1174	0.002	TT	126
Ti	0.096	1107	0.002	TT	126
Ti	0.14	827	0.002	TT	126
Ti	0.22	730	0.002	TT	126
Ti	0.39	664	0.002	TT	126
Ti	0.69	634	0.002	TT	126
Ti	0.25	697	-	VH	127
Ti	0.17	772	-	VH	127
Ti	0.14	811	-	VH	127
Ti	0.12	919	-	VH	127
Ti	0.71	464	0.002	TT	128
Ti	0.51	476	0.002	TT	128
Ti	0.4	537	0.002	TT	128
Ti	0.3	632	0.002	TT	128
Ti	210	259	0.002	TT	129
Ti	94	297	0.002	TT	129
Ti	72	308	0.002	TT	129
Ti	35	319	0.002	TT	129
Ti	18	331	0.002	TT	129
Ti	7	389	0.002	TT	129
Ti	40	170	0.002	TT	123
Ti	3.4	228	0.002	TT	123
Ti	2	249	0.002	TT	123
Ti	1.1	291	0.002	TT	123
Ti	10	154	0.002	TT	130
Ti	60	152	0.002	TT	130
Ti	100	130	0.002	TT	130
Ti	227	107	0.002	TT	130
Ti	22	153	0.002	TT	131
Ti	5	203	0.002	TT	131
Ti	2	259	0.002	TT	131
Ti	1	326	0.002	TT	131
Be	55	228	0.002	TT	145
Be	43	241	0.002	TT	145
Be	30	262	0.002	TT	145
Be	23	283	0.002	TT	145
Be	15	351	0.002	TT	145
Be	51	97	0.002	TT	145
Be	31	152	0.002	TT	145
Be	20	165	0.002	TT	145
Be	10	420	0.002	TT	145
Be	6	488	0.002	TT	145
Be	51	212	0.002	TT	146
Be	51	205	0.002	TT	146
Be	27	235	0.002	TT	146
Be	13	295	0.002	TT	146
Be	13	289	0.002	TT	146
Be	13	284	0.002	TT	146
Be	5	342	0.002	TT	146
Be	5	337	0.002	TT	146
Be	5	384	0.002	TT	146
Be	5	379	0.002	TT	146
Be	91	152	0.002	TT	147
Be	72	155	0.002	TT	147
Be	58	163	0.002	TT	147
Be	42	172	0.002	TT	147
Be	9.9	267	0.002	TT	148
Be	9.6	288	0.002	TT	148
Be	6.9	268	0.002	TT	148
Be	7	290	0.002	TT	148
Be	5.7	315	0.002	TT	148
Be	5.6	347	0.002	TT	148
Be	4.7	445	0.002	TT	148
Be	4.6	466	0.002	TT	148
Be	3.7	426	0.002	TT	148
Be	3.6	417	0.002	TT	148
Be	3.1	515	0.002	TT	148
Be	58	222	0.002	-	149
Be	23	301	0.002	-	149
Be	16	308	0.002	-	149
Be	13	451	0.002	-	149
Be	6	631	0.002	-	149
Be	8	288	0.002	TT	150
Be	7.6	279	0.002	TT	150
Be	7	321	0.002	TT	150
Be	5.1	377	0.002	TT	150
Be	4.1	433	0.002	TT	150
Be	3.5	484	0.002	TT	150
Be	3	422	0.002	TT	150
Be	2	674	0.002	TT	150
Be	111	126	0.002	TT	151
Be	70	136	0.002	TT	151
Be	46	151	0.002	TT	151
Be	32	169	0.002	TT	151
Be	35	185	0.002	TT	151
Be	19	206	0.002	TT	151
Be	6.9	263	0.002	TT	151
Be	5.7	278	0.002	TT	151
Be	286	70	0.002	TT	152
Be	110	101	0.002	TT	152
Be	79	113	0.002	TT	152
Be	41	179	0.002	TT	153
Be	41	174	0.002	TT	153
Be	19	287	0.002	TT	153
Be	19	310	0.002	TT	153
Be	15	351	0.002	TT	153
Be	15	437	0.002	TT	153
Be	9	279	0.002	TT	154
Be	7.9	274	0.002	TT	154
Be	8.1	257	0.002	TT	154
Be	6.4	311	0.002	TT	154
Be	6.4	337	0.002	TT	154
Be	2.4	549	0.002	TT	154
Be	0.033	3166	-	NH	155
Be	17	550	-	VH	156
Be	13	547	-	VH	156
Be	7.9	615	-	VH	156
Be	3.9	746	-	VH	156
Be	2.7	838	-	VH	156
Be	50.086	98.71227892	0.002	TT	6
Be	30.558	151.9398261	1.002	TT	6
Be	20.661	161.3787526	2.002	TT	6
Be	9.7656	418.0086145	3.002	TT	6
Be	6.0966	488.5006408	4.002	TT	6
Zr	7.4	432	0.001	CT	135
Zr	7.3	468	0.001	CT	135
Zr	3.7	417	0.001	CT	135
Zr	2.6	444	0.001	CT	135
Zr	2.8	467	0.001	CT	135
Zr	1.8	459	0.001	CT	135
Zr	1.9	480	0.001	CT	135
Zr	0.98	496	0.001	CT	135
Zr	996	224	0.06	TT	134
Zr	118	312	0.06	TT	134
Zr	57	329	0.06	TT	134
Zr	29	354	0.06	TT	134
Zr	18	362	0.06	TT	134
Zr	11	386	0.06	TT	134
Zr	1.03	1066	-	NH	136
Zr	0.29	1193	-	NH	136
Zr	0.2	1251	-	NH	136
Zr	0.15	1289	-	NH	136
Zr	0.12	1343	-	NH	136
Zr	0.1	1400	-	NH	136
Zr	0.076	1470	-	NH	136
Zr	0.04	1615	-	NH	136
Zr	0.025	1779	-	NH	136
Zr	0.017	1833	-	NH	136
Zr	0.013	1905	-	NH	136
Zr	0.007	2006	-	NH	136
Zr	45	371	0.01	TT	133
Zr	45	377	0.01	TT	133
Zr	32	373	0.01	TT	133
Zr	26	400	0.01	TT	133
Zr	25	387	0.01	TT	133
Zr	22	400	0.01	TT	133
Zr	20	391	0.01	TT	133
Zr	18	398	0.01	TT	133
Zr	16	381	0.01	TT	133
Zr	15	396	0.01	TT	133
Zr	13	382	0.01	TT	133
Zr	11	402	0.01	TT	133
Zr	8	402	0.01	TT	133
Zr	5	431	0.01	TT	133
Zr	5	437	0.01	TT	133
Zr	5	428	0.01	TT	133
Zr	28	185	0.002	TT	137
Zr	0.9	350	0.002	TT	137
Zr	0.4	428	0.002	TT	137
Mg	994	14	0.002	TT	7
Mg	240	30	0.002	TT	7
Mg	65	35	0.002	TT	7
Mg	26	55	0.002	TT	7
Mg	145	59	0.001	TT	157
Mg	354	50	0.001	TT	157
Mg	74	55	0.001	TT	157
Mg	30	75	0.001	TT	157
Mg	16	86	0.001	TT	157
Mg	384	52	0.001	TT	157
Mg	20	83	0.001	TT	157
Mg	23	81	0.001	TT	157
Mg	25	82	0.001	TT	157
Mg	18	89	0.001	TT	157
Mg	12	101	0.001	TT	157
Mg	10	100	0.001	TT	157
Mg	365	21	0.001	TT	157
Mg	377	24	0.001	TT	157
Mg	72	31	0.001	TT	157
Mg	30	36	0.001	TT	157
Mg	17	44	0.001	TT	157
Mg	371	27	0.001	TT	157
Mg	17	46	0.001	TT	157
Mg	17	48	0.001	TT	157
Mg	17	51	0.001	TT	157
Mg	14	55	0.001	TT	157
Mg	165	115	0.002	TT	10
Mg	101	123	0.002	TT	10
Mg	82	126	0.002	TT	10
Mg	42	131	0.002	TT	10
Mg	31	141	0.002	TT	10
Mg	23	145	0.002	TT	10
Mg	21	154	0.002	TT	10
Mg	16	149	0.002	TT	10
Mg	14	155	0.002	TT	10
Mg	171	56	0.002	TT	159
Mg	114	57	0.002	TT	159
Mg	60	73	0.002	TT	159
Mg	47	72	0.002	TT	159
Mg	44	78	0.002	TT	159
Mg	118	50	0.002	CT	160
Mg	0.4	217	0.002	CT	160
Mg	0.1	263	0.002	CT	160
Mg	0.06	217	0.002	CT	160
Mg	1294	13	0.002	CT	161
Mg	7	49	0.002	CT	161
Mg	4	108	0.002	CT	161
Mg	2	116	0.002	CT	161
Mg	0.7	84	0.002	CT	161
Mg	1466	12	0.002	CT	162
Mg	1469	14	0.002	CT	162
Mg	740	9	0.002	CT	162
Mg	721	12	0.002	CT	162
Mg	721	12	0.002	CT	162
Mg	669	19	0.002	CT	162
Mg	668	18	0.002	CT	162
Mg	87	39	0.002	CT	162
Mg	90	41	0.002	CT	162
Mg	91	42	0.002	CT	162
Mg	92	43	0.002	CT	162
Mg	41	42	0.002	CT	162
Mg	40	43	0.002	CT	162
Mg	40	43	0.002	CT	162
Mg	40	45	0.002	CT	162
Mg	19	61	0.002	CT	162
Mg	19	60	0.002	CT	162
Mg	19	64	0.002	CT	162
Mg	19	66	0.002	CT	162
Mg	0.2	131	0.002	TT	163
Mg	61	90	0.001	TT	158
Mg	57	87	0.001	TT	158
Mg	8	124	0.001	TT	158
Mg	4	157	0.001	TT	158
Mg	2	135	0.001	TT	158
Mg	2	116	0.001	TT	158
Zn	116	28	0.005	TT	164
Zn	106	30	0.005	TT	164
Zn	86	30	0.005	TT	164
Zn	72	33	0.005	TT	164
Zn	68	31	0.005	TT	164
Zn	64	32	0.005	TT	164
Zn	61	36	0.005	TT	164
Zn	52	35	0.005	TT	164
Zn	38	40	0.005	TT	164
Zn	36	41	0.005	TT	164
Zn	34	42	0.005	TT	164
Zn	32	46	0.005	TT	164
Zn	32	39	0.005	TT	164
Zn	31	46	0.005	TT	164
Zn	29	45	0.005	TT	164
Zn	28	49	0.005	TT	164
Zn	26	52	0.005	TT	164
Zn	27	51	0.005	TT	164
Zn	25	49	0.005	TT	164
Zn	77	47	0.002	TT	165
Zn	67	59	0.002	TT	165
Zn	40	62	0.002	TT	165
Zn	0.179	104	-	VH	166
Zn	0.102	122	-	VH	166
Zn	0.081	137	-	VH	166
Zn	0.06	143	-	VH	166
Zn	0.023	178	-	VH	166
Zn	0.062	113	0.002	TT	167
Zn	0.068	107	0.002	TT	167
Zn	0.021	160	0.002	TT	167
Zn	377	29	0.003	TT	168
Zn	103	66	0.003	TT	168
Zn	21	113	0.003	TT	168
Zn	11	118	0.003	TT	168
Zn	7.3	132	0.003	TT	168
Zn	4.2	147	0.003	TT	168
Zn	3.8	147	0.003	TT	168
Zn	3.5	146	0.003	TT	168
Zn	3	152	0.003	TT	168
Zn	3.4	128	0.003	TT	168
Zn	3.2	136	0.003	TT	168
Zn	2.8	136	0.003	TT	168
Zn	2.4	141	0.003	TT	168
Zn	2.8	115	0.003	TT	168
Zn	3.5	120	0.003	TT	168
Zn	2.3	123	0.003	TT	168
Zn	2.4	108	0.003	TT	168
Zn	1.9	103	0.003	TT	168
Zn	1.8	83	0.003	TT	168
Zn	1.1	89	0.003	TT	168
Zn	1.1	77	0.003	TT	168
Zn	0.92	78	0.003	TT	168
Zn	0.64	64	0.003	TT	168
Zn	85	56	0.002	TT	171
Zn	23	69	0.002	TT	171
Zn	11	96	0.002	TT	171
Zn	3	101	0.002	TT	171
Zn	0.7	67	0.002	TT	171
Zn	0.03	151	-	NH	169
Zn	0.022	204	-	NH	169
Zn	0.016	271	-	NH	169
Zn	0.011	350	-	NH	169
Zn	0.008	277	-	NH	169
Zn	0.006	187	-	NH	169
Zn	0.02	205	-	NH	170
Zn	0.019	195	-	NH	170
Hf	130	130	0.02	CT	138
Hf	128	135	0.02	CT	138
Hf	74	148	0.02	CT	138
Hf	35	155	0.02	CT	138
Hf	35	162	0.02	CT	138
Hf	35	168	0.02	CT	138
Cd	473	14	0.001	TT	174
Cd	283	24	0.001	TT	174
Cd	1077	8	0.001	TT	174
Cd	167	28	0.001	TT	174
Cd	92	39	0.001	TT	174
Cd	116	29	0.002	TT	172
Cd	258	19	0.002	TT	172
Cd	61	37	0.002	TT	172
Cd	28	54	0.002	TT	172
Cd	38	42	0.05	TT	173
Cd	80	29	0.05	TT	173
Cd	25	46	0.05	TT	173
Cd	46	36	0.05	TT	173
Cd	30	44	0.05	TT	173
Co	0.012	1717	-	VH	141
Co	4.8	923	-	VH	139
Co	0.018	1500	-	VH	140
Co	1.1	967	-	VH	140
Co	9.9	800	-	VH	140
Co	0.02	1725	0.002	TT	142
Co	35	892	0.002	TT	142
Co	0.013	1437	-	VH	143
Co	0.012	1550	-	VH	143
Co	0.007	2022	-	VH	143
Co	0.006	2093	-	VH	143
Co	0.003	2414	-	VH	143
Co	1.9	91	-	VH	144
Co	1.4	95	-	VH	144
Co	1	86	-	VH	144
Co	0.94	91	-	VH	144
Co	0.54	115	-	VH	144
Co	0.39	141	-	VH	144
Co	0.25	167	-	VH	144
Co	0.24	163	-	VH	144
Co	0.2	184	-	VH	144
