FORMULA,PROPERTY: BCC/FCC/other,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Al1 Cr1 Fe1 Ni1,other,13.0,28.0,15.0,22.75,4.875,13.0,49.0,73.0,24.0,59.5,7.5,49.0,26.9815386,58.6934,31.711861399999997,48.37900965,10.698735524999998,26.9815386,933.47,2180.0,1246.53,1663.1175,364.82374999999996,933.47,6.0,13.0,7.0,9.25,2.25,6.0,3.0,4.0,1.0,3.75,0.375,3.0,121.0,139.0,18.0,129.0,6.5,121.0,1.61,1.91,0.2999999999999998,1.7525,0.1175,1.61,1.0,2.0,1.0,1.75,0.375,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,8.0,8.0,4.75,2.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.75,2.25,3.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,5.0,5.0,2.75,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.25,1.25,2.0,10.32,16.48,6.16,12.180000000000001,2.150000000000001,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.676514375,0.7170742125,0.0,225.0,229.0,4.0,227.0,2.0,225.0
Al1 Cr1 Fe1 Mo1 Ni1,other,13.0,42.0,29.0,26.6,6.720000000000001,13.0,49.0,73.0,24.0,57.6,7.5200000000000005,49.0,26.9815386,95.96,68.97846139999999,57.895207719999995,15.545193823999995,26.9815386,933.47,2896.0,1962.53,1909.6940000000002,502.64480000000003,933.47,6.0,13.0,7.0,8.6,2.32,6.0,3.0,5.0,2.0,4.0,0.4,3.0,121.0,154.0,33.0,134.0,10.0,121.0,1.61,2.16,0.55,1.834,0.1608,1.61,1.0,2.0,1.0,1.6,0.48,1.0,0.0,1.0,1.0,0.2,0.31999999999999995,0.0,0.0,8.0,8.0,4.8,1.9200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.6,1.92,3.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,5.0,5.0,3.2,1.7600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.6,1.28,2.0,10.32,16.48,6.16,12.882,2.5624,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5412115,0.6494538000000001,0.0,225.0,229.0,4.0,227.4,1.9199999999999988,225.0
Al1 Cr1 Fe1 Mo0.2 Ni1,other,13.0,42.0,29.0,23.666666666666668,5.079365079365079,13.0,49.0,73.0,24.0,59.047619047619044,7.573696145124717,49.0,26.9815386,95.96,68.97846139999999,50.6447710952381,11.268205950113375,26.9815386,933.47,2896.0,1962.53,1721.8261904761905,375.4077097505669,933.47,6.0,13.0,7.0,9.095238095238095,2.2902494331065757,6.0,3.0,5.0,2.0,3.8095238095238093,0.3854875283446713,3.0,121.0,154.0,33.0,130.19047619047618,7.324263038548754,121.0,1.61,2.16,0.55,1.7719047619047619,0.13038548752834467,1.61,1.0,2.0,1.0,1.7142857142857142,0.40816326530612246,1.0,0.0,1.0,1.0,0.23809523809523808,0.36281179138321995,0.0,0.0,8.0,8.0,4.761904761904762,2.2675736961451247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.7142857142857135,2.1768707482993195,3.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612235,0.0,0.0,5.0,5.0,1.1904761904761905,1.8140589569160999,0.0,0.0,5.0,5.0,2.857142857142857,1.7687074829931972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.333333333333333,1.26984126984127,2.0,10.32,16.48,6.16,12.347142857142858,2.286394557823129,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6442994047619047,0.6982682834467121,0.0,225.0,229.0,4.0,227.09523809523807,1.9954648526077106,225.0
Al1 Cr1 Fe1 Mo0.5 Ni1,other,13.0,42.0,29.0,24.88888888888889,5.679012345679012,13.0,49.0,73.0,24.0,58.44444444444444,7.604938271604938,49.0,26.9815386,95.96,68.97846139999999,53.665786355555554,12.60174849382716,26.9815386,933.47,2896.0,1962.53,1800.1044444444444,417.2172839506173,933.47,6.0,13.0,7.0,8.88888888888889,2.3209876543209877,6.0,3.0,5.0,2.0,3.888888888888889,0.39506172839506176,3.0,121.0,154.0,33.0,131.77777777777777,8.246913580246915,121.0,1.61,2.16,0.55,1.7977777777777777,0.14469135802469138,1.61,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,1.0,1.0,0.2222222222222222,0.34567901234567905,0.0,0.0,8.0,8.0,4.777777777777778,2.1234567901234573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.666666666666667,2.074074074074074,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,1.1111111111111112,1.7283950617283947,0.0,0.0,5.0,5.0,3.0,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.444444444444445,1.2839506172839505,2.0,10.32,16.48,6.16,12.57,2.4311111111111114,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6013461111111111,0.6708074172839505,0.0,225.0,229.0,4.0,227.22222222222223,1.9753086419753079,225.0
Al1 Cr1 Fe1 Mo0.8 Ni1,other,13.0,42.0,29.0,25.958333333333332,6.215277777777779,13.0,49.0,73.0,24.0,57.91666666666667,7.5694444444444455,49.0,26.9815386,95.96,68.97846139999999,56.309174708333344,14.210368968750004,26.9815386,933.47,2896.0,1962.53,1868.5979166666668,472.2182291666667,933.47,6.0,13.0,7.0,8.708333333333334,2.3263888888888893,6.0,3.0,5.0,2.0,3.9583333333333335,0.39930555555555547,3.0,121.0,154.0,33.0,133.16666666666669,9.375000000000007,121.0,1.61,2.16,0.55,1.8204166666666666,0.15451388888888895,1.61,1.0,2.0,1.0,1.625,0.46875,1.0,0.0,1.0,1.0,0.20833333333333334,0.3298611111111111,0.0,0.0,8.0,8.0,4.791666666666667,1.9965277777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.625,1.9791666666666667,3.0,0.0,1.0,1.0,0.375,0.46875,0.0,0.0,5.0,5.0,1.0416666666666667,1.6493055555555556,0.0,0.0,5.0,5.0,3.125,1.7708333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.541666666666667,1.284722222222222,2.0,10.32,16.48,6.16,12.765000000000002,2.5229166666666676,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5637619791666667,0.6577223090277778,0.0,225.0,229.0,4.0,227.33333333333334,1.9444444444444429,225.0
Al0.3 Co1 Cr1 Cu1 Fe1,FCC,13.0,29.0,16.0,25.558139534883722,2.477014602487831,24.0,49.0,73.0,24.0,57.651162790697676,5.25689561925365,49.0,26.9815386,63.546,36.5644614,55.445292227906975,5.575962007571661,51.9961,933.47,2180.0,1246.53,1720.1886046511627,278.3414818820985,1357.77,6.0,13.0,7.0,8.813953488372093,1.6873985938345053,6.0,3.0,4.0,1.0,3.9302325581395348,0.12979989183342358,4.0,121.0,139.0,18.0,131.46511627906978,4.0021633315305545,126.0,1.61,1.9,0.2899999999999998,1.8030232558139536,0.09345592212006483,1.66,1.0,2.0,1.0,1.5348837209302326,0.4975662520281234,1.0,0.0,1.0,1.0,0.06976744186046512,0.12979989183342347,0.0,0.0,10.0,10.0,6.511627906976744,1.8496484586262845,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.116279069767442,1.752298539751217,6.0,0.0,1.0,1.0,0.46511627906976744,0.4975662520281234,0.0,0.0,5.0,5.0,0.3488372093023256,0.6489994591671175,0.0,0.0,5.0,5.0,2.7906976744186047,1.6873985938345053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.604651162790698,1.4926987560843699,1.0,10.245,16.48,6.235000000000001,11.204418604651163,0.7361276365603036,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8509613953488372,0.9103307950243376,0.0,194.0,229.0,35.0,219.6511627906977,11.930773391022162,194.0
Al0.5 Co1 Cr1 Cu1 Fe1,FCC,13.0,29.0,16.0,25.0,3.111111111111111,24.0,49.0,73.0,24.0,58.333333333333336,5.777777777777779,49.0,26.9815386,63.546,36.5644614,54.18023651111111,7.014882429629629,51.9961,933.47,2180.0,1246.53,1685.2233333333336,312.59111111111105,1357.77,6.0,13.0,7.0,9.0,1.7777777777777777,6.0,3.0,4.0,1.0,3.888888888888889,0.1975308641975309,4.0,121.0,139.0,18.0,131.0,4.444444444444445,126.0,1.61,1.9,0.2899999999999998,1.7944444444444443,0.10074074074074077,1.66,1.0,2.0,1.0,1.5555555555555556,0.4938271604938272,1.0,0.0,1.0,1.0,0.1111111111111111,0.1975308641975309,0.0,0.0,10.0,10.0,6.222222222222222,2.0246913580246915,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.888888888888889,1.9259259259259258,6.0,0.0,1.0,1.0,0.4444444444444444,0.4938271604938272,0.0,0.0,5.0,5.0,0.5555555555555556,0.9876543209876542,0.0,0.0,5.0,5.0,2.6666666666666665,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.6666666666666665,1.4814814814814818,1.0,10.245,16.48,6.235000000000001,11.438888888888888,1.1202469135802466,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8131408888888889,0.9034898765432098,0.0,194.0,229.0,35.0,219.88888888888889,11.506172839506174,194.0
Al0.8 Co1 Cr1 Cu1 Fe1,other,13.0,29.0,16.0,24.250000000000004,3.854166666666666,24.0,49.0,73.0,24.0,59.25,6.5625,49.0,26.9815386,63.546,36.5644614,52.480317891666665,8.701350552083333,51.9961,933.47,2180.0,1246.53,1638.2387500000002,351.7848958333333,1357.77,6.0,13.0,7.0,9.25,1.9791666666666667,6.0,3.0,4.0,1.0,3.833333333333333,0.277777777777778,4.0,121.0,139.0,18.0,130.375,4.947916666666667,126.0,1.61,1.9,0.2899999999999998,1.7829166666666667,0.10885416666666664,1.66,1.0,2.0,1.0,1.5833333333333333,0.48611111111111116,1.0,0.0,1.0,1.0,0.16666666666666669,0.27777777777777785,0.0,0.0,10.0,10.0,5.833333333333334,2.2916666666666665,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.583333333333333,2.1875,6.0,0.0,1.0,1.0,0.4166666666666667,0.48611111111111105,0.0,0.0,5.0,5.0,0.8333333333333334,1.3888888888888888,0.0,0.0,5.0,5.0,2.5,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.75,1.4583333333333335,1.0,10.245,16.48,6.235000000000001,11.753958333333333,1.5753472222222225,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7623195833333334,0.8893728472222223,0.0,194.0,229.0,35.0,220.20833333333334,10.920138888888884,194.0
Al1 Co0.769 Cr0.769 Cu0.769 Fe0.769,other,13.0,29.0,16.0,23.18792934249264,4.998983975707869,13.0,49.0,73.0,24.0,60.54808635917566,7.412382350646835,73.0,26.9815386,63.546,36.5644614,50.07307297718351,11.330487918146964,26.9815386,933.47,2180.0,1246.53,1571.7041535819428,393.89083301592603,933.47,6.0,13.0,7.0,9.604023552502452,2.193072784898508,13.0,3.0,4.0,1.0,3.7546614327772327,0.370295109311694,3.0,121.0,139.0,18.0,129.48994111874387,5.48268196224627,121.0,1.61,1.9,0.2899999999999998,1.7665922473012756,0.11705676421783945,1.61,1.0,2.0,1.0,1.6226692836113836,0.46990449371653975,2.0,0.0,1.0,1.0,0.2453385672227674,0.370295109311694,1.0,0.0,10.0,10.0,5.282630029440627,2.6987107566636266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.150637880274778,2.4707941168822787,3.0,0.0,1.0,1.0,0.37733071638861626,0.4699044937165398,0.0,0.0,5.0,5.0,1.226692836113837,1.8514755465584702,5.0,0.0,5.0,5.0,2.2639842983316973,1.9651561451171604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.8680078508341507,1.4097134811496195,5.0,10.245,16.48,6.235000000000001,12.200126349362119,2.1000361386839446,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6903518267909715,0.8597217548554885,0.0,194.0,229.0,35.0,220.6606967615309,10.059899808448137,225.0
Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667,other,13.0,29.0,16.0,22.819520174482005,5.354154947918216,13.0,49.0,73.0,24.0,60.99836423118866,7.635619861836699,73.0,26.9815386,63.546,36.5644614,49.2380521714831,12.135503583142363,26.9815386,933.47,2180.0,1246.53,1548.624751908397,404.828174171918,933.47,6.0,13.0,7.0,9.726826608505998,2.24775356795011,13.0,3.0,4.0,1.0,3.727371864776445,0.39660407021616406,3.0,121.0,139.0,18.0,129.18293347873498,5.6193839198752755,121.0,1.61,1.9,0.2899999999999998,1.7609296619411128,0.1190020427785355,1.61,1.0,2.0,1.0,1.6363140676117776,0.4628369499422635,2.0,0.0,1.0,1.0,0.27262813522355506,0.39660407021616406,1.0,0.0,10.0,10.0,5.091603053435115,2.8095432334113064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.000545256270448,2.545206620612233,3.0,0.0,1.0,1.0,0.36368593238822244,0.4628369499422635,0.0,0.0,5.0,5.0,1.3631406761177753,1.98302035108082,5.0,0.0,5.0,5.0,2.182115594329335,1.9834169551510366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.9089422028353327,1.3885108498267904,5.0,10.245,16.48,6.235000000000001,12.354892311886587,2.249240833213421,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6653877802617232,0.8467912099950172,0.0,194.0,229.0,35.0,220.81761177753546,9.75318814373834,225.0
Al1 Co0.556 Cr0.556 Cu0.556 Fe0.556,other,13.0,29.0,16.0,22.312655086848636,5.77708131938501,13.0,49.0,73.0,24.0,61.617866004962785,7.882506511338657,73.0,26.9815386,63.546,36.5644614,48.08921297146402,13.094090801156336,26.9815386,933.47,2180.0,1246.53,1516.8716253101736,416.78792120510565,933.47,6.0,13.0,7.0,9.895781637717121,2.3065532082581632,13.0,3.0,4.0,1.0,3.6898263027295286,0.42793194958407477,3.0,121.0,139.0,18.0,128.7605459057072,5.766383020645407,121.0,1.61,1.9,0.2899999999999998,1.753138957816377,0.12092073099397196,1.61,1.0,2.0,1.0,1.6550868486352357,0.451896138760783,2.0,0.0,1.0,1.0,0.31017369727047145,0.42793194958407477,1.0,0.0,10.0,10.0,4.8287841191067,2.995523647088523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,6.794044665012407,2.627502170446219,3.0,0.0,1.0,1.0,0.3449131513647643,0.451896138760783,0.0,0.0,5.0,5.0,1.5508684863523572,2.139659747920374,5.0,0.0,5.0,5.0,2.069478908188586,1.997586340658461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.9652605459057075,1.3556884162823486,5.0,10.245,16.48,6.235000000000001,12.56782258064516,2.426909069078684,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6310417196029776,0.8267742629041493,0.0,194.0,229.0,35.0,221.03349875930522,9.324209249487403,225.0
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5,other,13.0,29.0,16.0,22.0,6.0,13.0,49.0,73.0,24.0,62.0,8.0,73.0,26.9815386,63.546,36.5644614,47.38056203333334,13.59934895555555,26.9815386,933.47,2180.0,1246.53,1497.285,422.38166666666666,933.47,6.0,13.0,7.0,10.0,2.3333333333333335,13.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,121.0,139.0,18.0,128.5,5.833333333333333,121.0,1.61,1.9,0.2899999999999998,1.7483333333333333,0.12166666666666663,1.61,1.0,2.0,1.0,1.6666666666666667,0.44444444444444436,2.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,1.0,0.0,10.0,10.0,4.666666666666667,3.1111111111111107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,6.666666666666667,2.6666666666666665,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,5.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.0,1.3333333333333333,5.0,10.245,16.48,6.235000000000001,12.699166666666668,2.5205555555555565,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6098556666666667,0.8131408888888889,0.0,194.0,229.0,35.0,221.16666666666666,9.055555555555562,225.0
Al1 Co0.435 Cr0.435 Cu0.435 Fe0.435,other,13.0,29.0,16.0,21.572992700729927,6.257658905642281,13.0,49.0,73.0,24.0,62.521897810218974,8.117574191485959,73.0,26.9815386,63.546,36.5644614,46.412725155109484,14.183347850444884,26.9815386,933.47,2180.0,1246.53,1470.5346532846715,427.82283026533105,933.47,6.0,13.0,7.0,10.142335766423356,2.3582103468485265,13.0,3.0,4.0,1.0,3.635036496350365,0.4635302893068357,3.0,121.0,139.0,18.0,128.1441605839416,5.895525867121318,121.0,1.61,1.9,0.2899999999999998,1.7417700729927006,0.1221460253609675,1.61,1.0,2.0,1.0,1.6824817518248174,0.43340082050189144,2.0,0.0,1.0,1.0,0.36496350364963503,0.4635302893068356,1.0,0.0,10.0,10.0,4.445255474452554,3.2447120251478503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,6.492700729927006,2.705858063828653,3.0,0.0,1.0,1.0,0.3175182481751825,0.4334008205018914,0.0,0.0,5.0,5.0,1.824817518248175,2.3176514465341786,5.0,0.0,5.0,5.0,1.9051094890510947,1.9954978954659275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.047445255474452,1.3152671959081463,5.0,10.245,16.48,6.235000000000001,12.878549270072991,2.6287961532313915,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.580920908759124,0.792935838963184,0.0,194.0,229.0,35.0,221.3485401459854,8.683660557301938,225.0
Al1 Co0.4 Cr0.4 Cu0.4 Fe0.4,other,13.0,29.0,16.0,21.307692307692314,6.390532544378698,13.0,49.0,73.0,24.0,62.846153846153854,8.165680473372783,73.0,26.9815386,63.546,36.5644614,45.8114063846154,14.48451368047337,26.9815386,933.47,2180.0,1246.53,1453.9146153846157,429.9249704142012,933.47,6.0,13.0,7.0,10.230769230769232,2.3668639053254443,13.0,3.0,4.0,1.0,3.6153846153846154,0.47337278106508884,3.0,121.0,139.0,18.0,127.92307692307695,5.917159763313612,121.0,1.61,1.9,0.2899999999999998,1.737692307692308,0.1221301775147929,1.61,1.0,2.0,1.0,1.6923076923076923,0.42603550295857995,2.0,0.0,1.0,1.0,0.3846153846153847,0.47337278106508884,1.0,0.0,10.0,10.0,4.307692307692308,3.313609467455622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,6.384615384615386,2.721893491124261,3.0,0.0,1.0,1.0,0.30769230769230776,0.42603550295858006,0.0,0.0,5.0,5.0,1.9230769230769234,2.366863905325444,5.0,0.0,5.0,5.0,1.8461538461538467,1.9881656804733732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.076923076923078,1.3017751479289945,5.0,10.245,16.48,6.235000000000001,12.990000000000002,2.6846153846153853,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5629436923076925,0.7794604970414203,0.0,194.0,229.0,35.0,221.4615384615385,8.449704142011802,225.0
Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,BCC,13.0,29.0,16.0,20.93986820428336,6.54025387502748,13.0,49.0,73.0,24.0,63.295716639209225,8.200751664409458,73.0,26.9815386,63.546,36.5644614,44.97771166186161,14.82386578407052,26.9815386,933.47,2180.0,1246.53,1430.8718657331137,431.21847759459246,933.47,6.0,13.0,7.0,10.35337726523888,2.370236450634959,13.0,3.0,4.0,1.0,3.588138385502471,0.4844632500020356,3.0,121.0,139.0,18.0,127.61655683690279,5.9255911265873955,121.0,1.61,1.9,0.2899999999999998,1.7320387149917629,0.12171049113988636,1.61,1.0,2.0,1.0,1.7059308072487642,0.41518500525174457,2.0,0.0,1.0,1.0,0.41186161449752884,0.4844632500020355,1.0,0.0,10.0,10.0,4.116968698517298,3.391242750014249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,6.234761120263592,2.7335838881364856,3.0,0.0,1.0,1.0,0.29406919275123555,0.41518500525174445,0.0,0.0,5.0,5.0,2.059308072487644,2.422316250010178,5.0,0.0,5.0,5.0,1.7644151565074135,1.9722498907582866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.117792421746293,1.280194138130379,5.0,10.245,16.48,6.235000000000001,13.144520181219109,2.747512206574044,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5380192907742998,0.7596087845034184,0.0,194.0,229.0,35.0,221.61820428336077,8.121663038846641,225.0
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,BCC,13.0,29.0,16.0,20.71097770154374,6.613188423279365,13.0,49.0,73.0,24.0,63.57547169811322,8.2040276384349,73.0,26.9815386,63.546,36.5644614,44.45891802530018,14.98917617950272,26.9815386,933.47,2180.0,1246.53,1416.5327658662093,431.072698884783,933.47,6.0,13.0,7.0,10.429674099485423,2.3672765226294463,13.0,3.0,4.0,1.0,3.5711835334476842,0.4898658091318049,3.0,121.0,139.0,18.0,127.42581475128648,5.918191306573623,121.0,1.61,1.9,0.2899999999999998,1.7285205831903947,0.12121606980514227,1.61,1.0,2.0,1.0,1.714408233276158,0.4080582190067933,2.0,0.0,1.0,1.0,0.42881646655231564,0.4898658091318049,1.0,0.0,10.0,10.0,3.9982847341337915,3.4290606639226335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,6.141509433962265,2.734675879478301,3.0,0.0,1.0,1.0,0.28559176672384223,0.40805821900679345,0.0,0.0,5.0,5.0,2.1440823327615783,2.449329045659024,5.0,0.0,5.0,5.0,1.7135506003430534,1.9589733707180876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.143224699828474,1.2650784520828857,5.0,10.245,16.48,6.235000000000001,13.24067538593482,2.778151470038748,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5225092718696399,0.746569851573602,0.0,194.0,229.0,35.0,221.7156946826758,7.915374210403993,225.0
